x,dangle,x1
0,0.017,331.0
331.0,0.017,338.0
338.0,0.017,345.0
345.0,0.017,352.0
352.0,0.017,359.0
359.0,0.017,366.0
366.0,0.017,374.0
374.0,0.017,381.0
381.0,0.017,389.0
389.0,0.017,396.0
396.0,0.017,403.0
403.0,0.017,411.0
411.0,0.017,419.0
419.0,0.017,426.0
426.0,0.017,434.0
434.0,0.017,442.0
442.0,0.017,450.0
450.0,0.017,458.0
458.0,0.017,466.0
466.0,0.017,474.0
474.0,0.017,482.0
482.0,0.017,491.0
491.0,0.017,499.0
499.0,0.017,508.0
508.0,0.017,517.0
517.0,0.017,526.0
526.0,0.017,535.0
535.0,0.017,544.0
544.0,0.017,554.0
554.0,0.017,564.0
564.0,0.017,574.0
574.0,0.017,584.0
584.0,0.017,594.0
594.0,0.017,601.0
601.0,0.017,606.0
606.0,0.017,611.0
611.0,0.017,616.0
616.0,0.017,621.0
621.0,0.017,626.0
626.0,0.017,632.0
632.0,0.017,637.0
637.0,0.017,999.0
637.0,-0.017,632.0
632.0,-0.017,626.0
626.0,-0.017,621.0
621.0,-0.017,616.0
616.0,-0.017,611.0
611.0,-0.017,606.0
606.0,-0.017,601.0
601.0,-0.017,594.0
594.0,-0.017,584.0
584.0,-0.017,574.0
574.0,-0.017,564.0
564.0,-0.017,554.0
554.0,-0.017,544.0
544.0,-0.017,535.0
535.0,-0.017,526.0
526.0,-0.017,517.0
517.0,-0.017,508.0
508.0,-0.017,499.0
499.0,-0.017,491.0
491.0,-0.017,482.0
482.0,-0.017,474.0
474.0,-0.017,466.0
466.0,-0.017,458.0
458.0,-0.017,450.0
450.0,-0.017,442.0
442.0,-0.017,434.0
434.0,-0.017,426.0
426.0,-0.017,419.0
419.0,-0.017,411.0
411.0,-0.017,403.0
403.0,-0.017,396.0
396.0,-0.017,389.0
389.0,-0.017,381.0
381.0,-0.017,374.0
374.0,-0.017,366.0
366.0,-0.017,359.0
359.0,-0.017,352.0
352.0,-0.017,345.0
345.0,-0.017,338.0
338.0,-0.017,331.0
331.0,-0.017,323.0
323.0,-0.017,316.0
316.0,-0.017,309.0
309.0,-0.017,302.0
302.0,-0.017,295.0
295.0,-0.017,287.0
287.0,-0.017,280.0
280.0,-0.017,273.0
273.0,-0.017,265.0
265.0,-0.017,258.0
258.0,-0.017,250.0
250.0,-0.017,243.0
243.0,-0.017,235.0
235.0,-0.017,228.0
228.0,-0.017,220.0
220.0,-0.017,212.0
212.0,-0.017,204.0
204.0,-0.017,197.0
197.0,-0.017,188.0
188.0,-0.017,180.0
180.0,-0.017,172.0
172.0,-0.017,164.0
164.0,-0.017,155.0
155.0,-0.017,146.0
146.0,-0.017,138.0
138.0,-0.017,129.0
129.0,-0.017,120.0
120.0,-0.017,110.0
110.0,-0.017,101.0
101.0,-0.017,91.0
91.0,-0.017,81.0
81.0,-0.017,71.0
71.0,-0.017,60.0
60.0,-0.017,50.0
50.0,-0.017,40.0
40.0,-0.017,35.0
35.0,-0.017,30.0
30.0,-0.017,25.0
25.0,-0.017,20.0
20.0,-0.017,14.0
14.0,-0.017,9.0
9.0,-0.017,3.0
3.0,-0.017,999.0
3.0,0.017,9.0
9.0,0.017,14.0
14.0,0.017,20.0
20.0,0.017,25.0
25.0,0.017,30.0
30.0,0.017,35.0
35.0,0.017,40.0
40.0,0.017,50.0
50.0,0.017,60.0
60.0,0.017,71.0
71.0,0.017,81.0
81.0,0.017,91.0
91.0,0.017,101.0
101.0,0.017,110.0
110.0,0.017,120.0
120.0,0.017,129.0
129.0,0.017,138.0
138.0,0.017,146.0
146.0,0.017,155.0
155.0,0.017,164.0
164.0,0.017,172.0
172.0,0.017,180.0
180.0,0.017,188.0
188.0,0.017,197.0
197.0,0.017,204.0
204.0,0.017,212.0
212.0,0.017,220.0
220.0,0.017,228.0
228.0,0.017,235.0
235.0,0.017,243.0
243.0,0.017,250.0
250.0,0.017,258.0
258.0,0.017,265.0
265.0,0.017,273.0
273.0,0.017,280.0
280.0,0.017,287.0
287.0,0.017,295.0
295.0,0.017,302.0
302.0,0.017,309.0
309.0,0.017,316.0
316.0,0.017,323.0
323.0,0.017,331.0
331.0,0.017,338.0
338.0,0.017,345.0
345.0,0.017,352.0
352.0,0.017,359.0
359.0,0.017,366.0
